sample-id	Plant	Wheat variety	Treatment	Block	Plot	Compartment	Plant height (cm)	Plant_biomass_(g)
T-monococcum-UnT-RP-2-25	Triticum_monococcum	Ancestral	UnTreated	2	25	Rhizoplane	48	0.33
T-monococcum-UnT-RP-3-23	Triticum_monococcum	Ancestral	UnTreated	3	23	Rhizoplane	75.5	0.52
T-monococcum-UnT-RP-4-28	Triticum_monococcum	Ancestral	UnTreated	4	28	Rhizoplane	73	0.3
T-polonicum-T-RP-1-11	Triticum_polonicum	Ancestral	Treated	1	11	Rhizoplane	90	2.37
T-polonicum-T-RP-2-26	Triticum_polonicum	Ancestral	Treated	2	26	Rhizoplane	96	3.8
T-polonicum-T-RP-3-20	Triticum_polonicum	Ancestral	Treated	3	20	Rhizoplane	90	2.98
T-polonicum-T-RP-4-5	Triticum_polonicum	Ancestral	Treated	4	5	Rhizoplane	97	3.48
T-polonicum-UnT-RP-1-30	Triticum_polonicum	Ancestral	UnTreated	1	30	Rhizoplane	82	0.63
T-polonicum-UnT-RP-2-13	Triticum_polonicum	Ancestral	UnTreated	2	13	Rhizoplane	78.5	0.58
T-polonicum-UnT-RP-3-3	Triticum_polonicum	Ancestral	UnTreated	3	3	Rhizoplane	84	0.72
T-polonicum-UnT-RP-4-12	Triticum_polonicum	Ancestral	UnTreated	4	12	Rhizoplane	78	0.49
T-spelta-T-RP-1-4	Triticum_spelta	Ancestral	Treated	1	4	Rhizoplane	79	1.49
T-spelta-T-RP-2-39	Triticum_spelta	Ancestral	Treated	2	39	Rhizoplane	80	1.75
T-spelta-T-RP-3-28	Triticum_spelta	Ancestral	Treated	3	28	Rhizoplane	74.5	1.39
T-spelta-T-RP-4-36	Triticum_spelta	Ancestral	Treated	4	36	Rhizoplane	73	1.29
T-spelta-UnT-RP-1-32	Triticum_spelta	Ancestral	UnTreated	1	32	Rhizoplane	67	0.51
T-spelta-UnT-RP-2-27	Triticum_spelta	Ancestral	UnTreated	2	27	Rhizoplane	68.5	0.63
T-spelta-UnT-RP-3-38	Triticum_spelta	Ancestral	UnTreated	3	38	Rhizoplane	69	0.98
T-spelta-UnT-RP-4-10	Triticum_spelta	Ancestral	UnTreated	4	10	Rhizoplane	59.6	0.52
T-uranicum-T-RP-1-31	Triticum_uranicum	Ancestral	Treated	1	31	Rhizoplane	85.2	2.14
T-uranicum-T-RP-2-31	Triticum_uranicum	Ancestral	Treated	2	31	Rhizoplane	94	1.87
T-uranicum-T-RP-3-10	Triticum_uranicum	Ancestral	Treated	3	10	Rhizoplane	97	1.08
T-uranicum-T-RP-4-13	Triticum_uranicum	Ancestral	Treated	4	13	Rhizoplane	93	1.93
T-uranicum-UnT-RP-1-3	Triticum_uranicum	Ancestral	UnTreated	1	3	Rhizoplane	59	0.59
T-uranicum-UnT-RP-2-28	Triticum_uranicum	Ancestral	UnTreated	2	28	Rhizoplane	67	0.54
